Time (s),Avg Acc Displacement (in),Avg Acc Velocity (in/s),Avg Acc Acceleration (in/s²),Lin Acc Displacement (in),Lin Acc Velocity (in/s),Lin Acc Acceleration (in/s²),Central Diff Displacement (in),Central Diff Velocity (in/s),Central Diff Acceleration (in/s²),Wilson's Displacement (in),Wilson's Velocity (in/s),Wilson's Acceleration (in/s²)
0.85,0.26467497192524236,2.8000459370065336,-126.53118283156743,0.26690066702081366,2.771015496921491,-128.05625370392994,0.27035535008942285,2.7016222157697265,-130.26115974255265,0.24780483823183216,2.095132027058005,-111.92268020575273
0.86,0.2861518001885752,1.4953197156600377,-134.41406143773173,0.2880819493982525,1.4526349879083156,-135.61984809870512,0.2908585142599925,1.3644378961006287,-137.1757041912669,0.26314104774571556,0.9730587130391279,-112.49198259802273
0.87,0.29444621554900846,0.16356335642660969,-131.9372104089539,0.29587611520146373,0.11107900564026618,-132.69134835490473,0.2976441080114354,0.01159386302039822,-133.3931024247792,0.2674904194300307,-0.11535356036734634,-105.19047208327214
0.88,0.2897849517877759,-1.0958161086731193,-119.93868261099189,0.29056126472288546,-1.1531564130794894,-120.15573538904636,0.29109039152040045,-1.2548037343175389,-119.88641704280822,0.2615425009882518,-1.0974871662913368,-91.23624910152597
0.89,0.2733307755749849,-2.1950191338850797,-99.90192243140018,0.2733653316499537,-2.25168841877532,-99.55066575011972,0.27254803332508465,-2.3456986760936522,-98.29257131241442,0.2466403624534101,-1.9146678198344027,-72.19988160708724
0.9,0.2470378848249391,-3.063559016124083,-73.80605401640051,0.24631490238140472,-3.113998614263454,-72.9113733475071,0.2441764179985274,-3.19089742914594,-70.74717929804352,0.2246282391206874,-2.524984294008916,-49.86341322781547
0.91,0.2134584109923534,-3.6523357503930556,-43.94929283739401,0.21203472491873496,-3.6914991435364835,-42.588732507098825,0.20873008474216584,-3.7430971749892725,-39.692769870623145,0.19767809262313626,-2.904688360697752,-26.077400109951668
0.92,0.1755173177297295,-3.935882902131725,-12.760137510339888,0.17351584870354833,-3.9597209149475265,-11.055621775109756,0.16931447449874196,-3.979943288422531,-7.676452816028633,0.16810904928395168,-3.048205820803693,-2.626091911236557
0.93,0.1362742111058875,-3.912738422636676,17.38903340934972,0.13387150838964681,-3.9185821553998523,19.28337368464456,0.1291312189737152,-3.904089694901673,22.84717152020027,0.13821290977445483,-2.9668832458007715,18.89060691182081
0.94,0.09869036366298858,-3.604031065943107,44.35243792936405,0.09609955076310178,-3.590839845587028,46.26508827792029,0.0912326806007085,-3.541386490888631,49.69346928240817,0.11009731094660238,-2.6866716839979286,37.151705448747805
0.95,0.06541771254501492,-3.0504991576516245,66.35394372893245,0.06286852270187328,-3.018954168584097,68.11204712266596,0.05830348915594259,-2.9374511296894092,71.09360295743619,0.08555584818593293,-2.2450043084795834,51.181769654921254
0.96,0.038623918093916056,-2.308259732568149,82.09394128776265,0.036341700471170524,-2.2606985676559628,83.53907306296088,0.03248365800692031,-2.152983726563952,85.79987766765522,0.06597175223680384,-1.6871578139922678,60.38752924254189
0.97,0.019864031533305307,-1.443717579554001,90.81448931506694,0.018049629929407406,-1.3839193925318143,91.81676196186882,0.015243814624663553,-1.2582576162617958,93.145344392776,0.05225878675800063,-1.0623970917179917,64.56461521231336
0.98,0.010005232902843988,-0.5280421465382629,92.32059728808068,0.008817492914843683,-0.4608861291148325,92.78989072152754,0.007318505681684397,-0.32725010253958164,93.0561583516668,0.04484011463629439,-0.42019073436615584,63.8766562580538
0.99,0.00920679794130584,0.36835515423063325,86.95886286569853,0.008749165851512676,0.4373246856227253,86.85227222598402,0.00869881257387192,0.5681247803043844,86.01881821712637,0.04366317431273321,0.19324595929403654,58.810682473984684
1.0,0.016953264383625984,1.1809381342333958,75.55773313485398,0.017265533273272276,1.245999494152509,74.88268947997273,0.018681001287772083,1.3632571029648204,73.00764631496084,0.04824628112143976,0.7378697478439252,50.114075235993056
1.01,0.032134994138470624,1.855407816735532,59.336203365573255,0.033190769841230296,1.911158534682524,58.14911862603026,0.03596395463316833,2.0051978101861154,55.38049512929816,0.05775085025087778,1.1820356835837234,38.719111911966564
1.02,0.053167218655194665,2.3510370866092765,39.789650609175624,0.05487716466714113,2.392855785278052,38.19033149307535,0.05878495749149439,2.4558629080809213,34.75252444966298,0.07107190796146565,1.5039385945762342,25.66147028653559
1.03,0.0781363964308823,2.64279846852825,18.5626257746191,0.08035681787677287,2.6672327348680414,16.68505842492256,0.08508121279478675,2.6939200147257414,12.85889687930107,0.0869389485066102,1.692240460199904,11.998902838198369
1.04,0.104961415813564,2.7222054080080897,-2.6812378786511637,0.10750729986151479,2.7272538335618797,-4.680838686154914,0.11266335778600922,2.7153013362227862,-8.582632579892113,0.10401919210783354,1.7459135671790469,-1.2642814423697821
1.05,0.13155687709837208,2.596886848953526,-22.38247393226158,0.134218156032347,2.5821533775566756,-24.33925251488587,0.13938723951924248,2.532393385273916,-27.998957609881856,0.12101584966711744,1.6733811466971353,-13.242202654012532
1.06,0.15598634419156424,2.2890065696849056,-39.19358192146255,0.15854591365628296,2.255716794641867,-40.94806406807585,0.16331122549148755,2.172049396362094,-44.06984017248261,0.13675501453429476,1.4910786500929991,-23.218296666814698
1.07,0.17659495915675433,1.832716423353113,-52.06444734489598,0.1788468828501658,1.7835974892215016,-53.47579701599723,0.18282822744648436,1.672648949378458,-55.8102492242446,0.15025616813956247,1.2215879740766198,-30.679838536461155
1.08,0.19211299885103944,1.270891515503909,-60.30053422494478,0.19387936538429695,1.2099287668763252,-61.25794745303807,0.1967642044790567,1.0804860237997898,-62.62233589148902,0.1607828778996838,0.8915128806387367,-35.33518015111548
1.09,0.20172461799075544,0.6514323124392916,-63.59130638797872,0.20286967752064408,0.5835258444166782,-64.02263703889133,0.20443794792248016,0.44579874050144214,-64.31512076818052,0.167871951555496,0.5292666576746725,-37.114064441697366
1.1,0.2050989414866292,0.023432386735457,-62.008678752788185,0.2055394205366556,-0.046015598835441485,-61.88565161153261,0.20568017928908555,-0.18123939338055978,-61.09250600821986,0.17134096632025608,0.16293372477243162,-36.15252213875081
1.11,0.20238361060934065,-0.5664985621931641,-55.97751103293602,0.20209445644411908,-0.6320297720324124,-55.317183027861574,0.20081316005486896,-0.754264685270832,-53.512552369834594,0.17127560177294088,-0.1816528498303725,-32.764792781810016
1.12,0.19416363522003774,-1.0774965156674186,-46.222079661914904,0.19317884374300934,-1.13403835112879,-45.08453279141395,0.1905948855836689,-1.2339420417550206,-42.42291892700312,0.1679994802879701,-0.48250377978495607,-27.40539320910669
1.13,0.18139076865752848,-1.4770767968344325,-33.69397657148791,0.1797993668254744,-1.5203437090458316,-32.17653879199439,0.17613431921976855,-1.5904507783000386,-28.878828382000453,0.1620301906149006,-0.7226550440907146,-20.624859652045004
1.14,0.16529045375667098,-1.7429861833370683,-19.48790072903924,0.16322810397170148,-1.7698087440802397,-17.71646821488723,0.15878587001766814,-1.8050990005941638,-14.050816076824622,0.15402579881383366,-0.8908933972447977,-13.022810978771624
1.15,0.14725458723405474,-1.8641871211861796,-4.752286840783029,0.14489162523821417,-1.8727437908112794,-2.870541131320735,0.14003233920788527,-1.8710021600131805,0.8701841930214282,0.14472642340690395,-0.9820166398639875,-5.201837545066343
1.16,0.1287288674914947,-1.8409568273258277,9.39834561285339,0.1262558507079696,-1.8308920717942072,11.240884934735183,0.12136582681740453,-1.7928354744379953,14.763152922015742,0.13489538150435765,-0.9966525593126203,2.2746536553397725
1.17,0.11110333291197456,-1.6841500885781997,21.963002136672202,0.10871534421663175,-1.6565722284866182,23.623083726782625,0.10417562971912536,-1.5857384884608665,26.65624427341001,0.12526403562180058,-0.9406889685888993,8.918064489404445
1.18,0.0956139183609735,-1.4137328216220142,32.1204512545649,0.09349493091133719,-1.3710949532490428,33.47237132073246,0.0896510570481872,-1.273508354210498,35.789782576663704,0.11648384084184117,-0.8243895714759513,14.341814933185166
