Time,U1_nodamp,U1_tmd,U2_nodamp,U2_tmd,U3_nodamp,U3_tmd
33.68,0.0049154412995725165,0.003519684150730763,0.0012323568260762048,0.002588943675847196,-0.0007930421402075541,0.0035337326448408287
33.69,0.00479002382006432,0.0034541543600250645,0.0011710069897040037,0.0025629232541218524,-0.0007240038863202624,0.003574080179317662
33.7,0.004664436834797403,0.003388781501620208,0.0011103176586037312,0.002537571111591394,-0.0006543267346556979,0.0036147703665389695
33.71,0.004538912532789031,0.0033237904860316035,0.001050510185848042,0.0025131052845873674,-0.0005838056512651576,0.0036560134167274226
33.72,0.0044135081406269415,0.003259231210072281,0.0009916308513893124,0.002489568738763972,-0.0005124105960221867,0.0036978445801269123
33.73,0.004288219770103914,0.003195092405461383,0.000933664694984098,0.0024669432023978447,-0.0004401726879372248,0.0037402379809668043
33.74,0.004163118081121911,0.003131437302710637,0.0008766711824694018,0.002445284833037648,-0.0003670485371460623,0.003783242284748604
33.75,0.004038268269566635,0.0030683236199895284,0.0008207042053883293,0.002424644217500991,-0.00029300024357224497,0.0038269006988549737
33.76,0.0039136467373312505,0.0030057202341477744,0.0007657287472985928,0.0024049830385521175,-0.00021807872893023743,0.003871167639814398
33.77,0.003789134110348818,0.0029435001997544946,0.0007116138834337356,0.0023861670749301786,-0.00014243073540281468,0.003915901733888135
33.78,0.0036645359296909566,0.002881461441211466,0.0006581534470539049,0.002367986868064894,-6.627815765948114e-05,0.003960886484312728
33.79,0.0035396770040479306,0.002819421106255524,0.0006051603624883205,0.0023502520554817084,1.0176291783949067e-05,0.0040059246051980905
33.8,0.003414493910121635,0.00275730806738143,0.0005525591448688021,0.0023328838708957765,8.684158386448321e-05,0.0040509305220810966
33.81,0.0032889748161076936,0.0026951027463612653,0.0005003257332186622,0.0023158549776590228,0.00016367820759633265,0.004095870205801347
33.82,0.003163056349739689,0.002632733983333225,0.00044838435689666535,0.0022990863355599805,0.00024059503802042383,0.004140658039699068
33.83,0.0030366632578090243,0.002570118697373174,0.00039664718539803923,0.0022824868509783366,0.00031748898747891623,0.004185196470135147
33.84,0.002909769757097888,0.002507223238486276,0.0003450756781798626,0.0022660147270614755,0.0003943063568812757,0.004229437356999935
33.85,0.0027824293065514282,0.002444093160844663,0.00029371036784241726,0.0022497072472545884,0.0004710726202951218,0.0042734117575441415
33.86,0.002654733991417931,0.002380812607999764,0.00024263025999758604,0.0022336401755153916,0.0005478518261950683,0.004317189326865165
33.87,0.0025266821546164643,0.0023173719453286287,0.00019182046649085052,0.0022177953898799736,0.0006246142320361144,0.004360745951715495
33.88,0.002398206243321411,0.002253695607703487,0.00014120003864619276,0.002202088716049054,0.0007012641388181428,0.004403991584299841
33.89,0.0022693075779930062,0.00218977686961352,9.07567338684878e-05,0.0021865046943292093,0.0007777746589747549,0.004446905009394351
33.9,0.002140009243440751,0.0021256307373255555,4.049991560164966e-05,0.0021710494799272897,0.0008541406175863404,0.004489486744787894
33.91,0.0020102893387633396,0.002061227199927158,-9.60619669139604e-06,0.0021556840932640906,0.0009303118035839476,0.0045316922917120785
33.92,0.0018801355971380157,0.001996545850224876,-5.958791085912953e-05,0.0021403790369750202,0.001006247587610522,0.00457348675192671
33.93,0.0017495873627682789,0.0019316178628064069,-0.00010942007870264947,0.002125156279597338,0.0010819589065394243,0.004614886811460644
33.94,0.0016187171121689909,0.0018665075164455553,-0.00015904456259613732,0.002110070789275486,0.0011574897979834632,0.004655942274341425
33.95,0.0014875992107268843,0.0018012809517878392,-0.00020840146875440664,0.0020951793008166467,0.0012328861681276907,0.004696704829647037
33.96,0.0013562687258762654,0.0017359649856563616,-0.0002574703304807919,0.002080499132763252,0.0013081546095525364,0.004737186868546461
