Time(s),Displacement(inch),Velocity(inch/s),Acceleration(inch/s^2)
5.02,6.00E-05,0.003837918,-0.230460259
5.04,0.000106598,0.001612772,0.007945615
5.06,0.00015214,0.003526384,0.183415553
5.08,0.000221456,0.001510399,-0.385014053
5.1,0.00021544,-7.30E-05,0.226675853
5.12,0.000207043,-0.003380353,-0.557412824
5.14,8.79E-05,-0.005534312,0.342016932
5.16,5.59E-05,0.002840214,0.495435643
5.18,0.000128141,0.000207299,-0.758727087
5.2,5.16E-05,-0.004303373,0.307659907
5.22,1.60E-05,0.000178065,0.140483877
5.24,-1.28E-06,-0.004346722,-0.592962654
5.26,-0.00012234,-0.003535183,0.674116574
5.28,-6.90E-05,0.008326607,0.512062425
5.3,9.19E-05,0.002357769,-1.108946159
5.32,1.64E-05,-0.004951188,0.378050471
5.34,-6.25E-07,0.003575201,0.474588411
5.36,8.24E-05,0.000551961,-0.776912489
5.38,3.39E-06,-0.005180913,0.203625107
5.4,-5.52E-05,-0.000463036,0.268162651
5.42,-6.45E-05,-0.00315591,-0.53745005
5.44,-0.0001526,-0.001523097,0.700731371
5.46,-7.57E-05,0.007580243,0.209602602
5.48,3.53E-05,-0.000615551,-1.029181988
5.5,-6.39E-05,-0.003359304,0.754806668
5.52,-3.03E-05,0.00420979,0.002102716
5.54,9.32E-06,-0.002492129,-0.672294638
5.56,-9.34E-05,-0.003706575,0.550850013
5.58,-8.90E-05,0.002570081,0.07681566
5.6,-6.89E-05,-0.002888835,-0.62270731
5.62,-0.00016693,-0.002703744,0.641216475
5.64,-0.00014192,0.002746839,-0.096158206
5.66,-0.00011438,-0.00040107,-0.218632662
5.68,-9.46E-05,0.005962648,0.855004377
5.7,7.87E-05,0.005509532,-0.900315974
5.72,7.18E-05,-0.003046915,0.044671302
5.74,7.18E-05,0.005639274,0.823947643
5.76,0.000222034,0.003023755,-1.085499556
5.78,0.000150406,-0.005936652,0.189458842
5.8,9.32E-05,0.001402256,0.544431943
5.82,0.00014092,-0.001095297,-0.794187216
5.84,3.57E-05,-0.005649719,0.338745005
5.86,-7.92E-06,0.001368678,0.363094651
5.88,3.14E-05,-0.000470866,-0.547049051
5.9,-4.71E-05,-0.005366101,0.057525628
5.92,-0.000125628,-0.001618785,0.31720596
5.94,-0.000131915,-0.000877526,-0.243080121
5.96,-0.000151057,0.001314544,0.462287175
5.98,-6.96E-05,0.004968084,-0.096933204
6,-2.04E-05,-0.001593313,-0.559206534
6.02,-1.00E-04,-0.003149076,0.403630287
6.04,-0.000103913,0.001667638,0.078041143
6.06,-5.76E-05,0.002825467,0.037741739
6.08,-1.72E-05,3.38E-05,-0.316912961
6.1,-6.11E-05,-0.003478005,-0.034263013
6.12,-0.000118711,-0.00134469,0.247594521
6.14,-0.000119017,0.000167492,-0.096376387
6.16,-0.000141134,-0.002688816,-0.189254373
6.18,-0.000185144,0.000668777,0.525013684
6.2,-6.48E-05,0.011461092,0.5542178
6.22,0.000145068,0.003018528,-1.398474211
6.24,5.19E-05,-0.006029911,0.493630311
6.26,3.84E-05,0.005107677,0.620128503
6.28,0.000144252,-0.000545516,-1.18544778
6.3,2.27E-05,-0.005289593,0.711040101
6.32,3.05E-05,0.004638777,0.281796902
6.34,0.000105829,-0.000793953,-0.825069931
6.36,1.43E-05,-0.003888597,0.515605524
6.38,1.26E-06,0.000663159,-0.060429934
6.4,-2.26E-05,-0.004305973,-0.436483291
6.42,-0.000108117,0.000154153,0.882495921
6.44,-5.02E-06,0.006331914,-0.264719852
6.46,2.45E-05,-0.005594033,-0.927874793
6.48,-0.000121738,-0.001464149,1.340863201
6.5,4.42E-07,0.007846645,-0.409783794
6.52,3.45E-05,-0.006484564,-1.023337125
6.54,-0.00010973,0.001565837,1.828377203
6.56,0.0001041,0.010658979,-0.919062999
6.58,0.000152761,-0.004828218,-0.629656731
6.6,5.10E-05,0.000685496,1.181028176
6.62,0.000156633,0.002667043,-0.982873547
6.64,8.09E-05,-0.006858072,0.030362052
6.66,-9.10E-06,-9.51E-05,0.645932717
6.68,4.14E-05,0.001302642,-0.506156034
6.7,2.67E-06,-0.003348867,0.04100513
6.72,-3.33E-05,0.000898421,0.383723696
6.74,1.06E-05,0.000936969,-0.379868897
6.76,-9.65E-06,-0.001105782,0.175593794
6.78,-8.88E-06,0.000571682,-0.00784743
6.8,9.78E-07,0.000413441,-0.007976635
6.82,2.24E-06,-0.000557251,-0.089092622
6.84,-1.19E-05,-0.000120019,0.132815871
6.86,1.25E-05,0.002577431,0.136929071
6.88,3.93E-05,-0.002509878,-0.645659932
6.9,-5.24E-05,-0.002270555,0.669592285
6.92,-1.49E-05,0.00346698,-0.095838841
6.94,1.25E-05,-0.001870381,-0.437897238
6.96,-6.19E-05,-0.003032329,0.3217024
6.98,-8.08E-05,6.15E-06,-0.017854843
7,-0.000104451,-0.00337895,-0.320654827
7.02,-0.000162662,0.0012328,0.781829843
7.04,-4.66E-05,0.007128134,-0.192296382
7.06,3.18E-05,-0.000575872,-0.578104215
7.08,1.28E-06,0.002354485,0.871139871
7.1,0.00011567,0.003738254,-0.732763014
7.12,9.21E-05,-0.003688602,-0.009922566
7.14,5.18E-05,0.001438625,0.522645264
7.16,0.000109799,0.000593239,-0.607183846
7.18,5.42E-05,-0.003450207,0.202839217
7.2,2.23E-05,8.91E-05,0.151091667
7.22,2.96E-05,-0.000601202,-0.220122019
7.24,5.08E-06,-0.00027366,0.25287627
7.26,4.88E-05,0.004582363,0.23272595
7.28,0.000146164,0.003106797,-0.380282555
7.3,0.000154133,-0.001215332,-0.05193031
7.32,0.00014119,0.001008489,0.274312459
7.34,0.000157278,-0.002347006,-0.609862018
7.36,5.22E-05,-0.004973774,0.347185239
7.38,1.88E-05,0.001472177,0.29740982
7.4,3.08E-05,-0.004116694,-0.856296921
7.42,-0.00011611,-0.005243606,0.743605775
7.44,-0.000111759,0.003703783,0.151133067
7.46,-6.30E-05,-0.001600805,-0.681591814
7.48,-0.000136408,-0.000997913,0.741880997
7.5,-8.12E-05,0.002854477,-0.356642002
7.52,-7.22E-05,-0.00078558,-0.007363675
7.54,-2.44E-05,0.008808694,0.966791058
7.56,0.000195762,0.005741842,-1.273476208
7.58,0.000128922,-0.008774809,-0.178188946
7.6,-2.54E-06,-0.000388236,1.016846272
7.62,7.64E-05,0.002444934,-0.73352931
7.64,3.33E-05,-0.004018159,0.08722006
7.66,-1.58E-05,-0.000195861,0.295009685
7.68,-2.20E-05,-0.003494569,-0.624880444
7.7,-0.000106055,0.000633973,1.037734591
7.72,2.45E-05,0.007944589,-0.306672955
7.74,8.66E-05,-0.003507375,-0.838523413
7.76,-3.84E-05,-0.003363649,0.852895947
7.78,-1.10E-05,0.002318238,-0.284707175
7.8,-2.99E-06,-0.000591136,-0.006230271
7.82,6.93E-06,0.002732862,0.338630042
7.84,8.21E-05,0.002420178,-0.369898421
7.86,5.59E-05,-0.005070659,-0.37918529
7.88,-6.14E-05,-0.003662399,0.520011343
7.9,-4.44E-05,0.004674542,0.313682687
7.92,5.54E-05,0.002483753,-0.532761551
7.94,3.01E-05,-0.003438368,-0.059450511
7.96,-3.25E-05,-0.001910673,0.212219984
7.98,-4.05E-05,0.000501466,0.028993926
8,-3.68E-05,-0.000738987,-0.153039252
8.02,-5.11E-05,0.00086117,0.31305493
8.04,-1.09E-06,0.002648024,-0.134369522
8.06,-9.65E-07,-0.003933094,-0.523742274
8.08,-0.000103273,-0.002242541,0.692797618
8.1,-3.38E-05,0.007973388,0.328795232
8.12,9.56E-05,0.000183047,-1.107829299
8.14,-3.42E-05,-0.008761298,0.213394754
8.16,-0.000126596,0.001529562,0.815691326
8.18,-3.95E-05,0.001841438,-0.78450374
8.2,-9.59E-05,-0.004292593,0.171100566
8.22,-0.000111038,0.004605166,0.718675361
8.24,4.48E-05,0.006978023,-0.481389651
8.26,9.35E-05,-0.001836416,-0.400054209
8.28,2.50E-05,-0.002603301,0.323365722
8.3,2.21E-05,0.001545561,0.091520469
8.32,3.19E-05,-0.002537053,-0.499781856
8.34,-6.78E-05,-0.004895412,0.263945872
8.36,-0.000103494,0.001804294,0.406024742
8.38,-4.31E-05,0.001393273,-0.447126798
8.4,-5.53E-05,-0.000150626,0.292736891
8.42,-1.31E-05,0.003704653,0.092790997
8.44,4.75E-05,0.000749277,-0.388328565
8.46,3.79E-05,0.000950185,0.40841931
8.48,9.60E-05,0.002722906,-0.231147177
8.5,9.60E-05,-0.003121213,-0.353264736
8.52,2.09E-05,-0.00148955,0.516431024
8.54,3.87E-05,0.000476063,-0.31986972
8.56,-7.83E-06,-0.004731247,-0.200861317
8.58,-7.76E-05,0.001004795,0.774465555
8.6,1.04E-05,0.003441151,-0.530829941
8.62,-1.12E-05,-0.00481472,-0.294757134
8.64,-0.000105211,-0.001517882,0.624440884
8.66,-7.76E-05,0.000937673,-0.378885335
8.68,-0.000106385,-0.00240878,0.044239963
8.7,-0.000115513,0.003005868,0.49722491
8.72,-2.11E-05,0.003172818,-0.480529939
8.74,-2.69E-05,-0.002404417,-0.07719361
8.76,-5.58E-05,0.001241515,0.441786904
8.78,1.78E-06,0.00173921,-0.39201746
8.8,-1.65E-05,-0.002302804,-0.012183915
8.82,-3.75E-05,0.001579981,0.40046239
8.84,2.90E-05,0.00280732,-0.277728437
8.86,4.69E-05,-0.000143999,-0.017403496
8.88,2.83E-05,-0.002337586,-0.201955227
8.9,-3.31E-05,-0.002506986,0.185015224
8.92,-4.06E-05,0.002029678,0.268651163
8.94,1.24E-05,0.001207216,-0.35089738
8.96,-2.52E-06,-0.001140951,0.11608074
8.98,-2.00E-05,-0.001503665,-0.152352159
9,-6.13E-05,-0.001661861,0.136532533
9.02,-6.60E-05,0.001254408,0.155094379
9.04,-1.36E-05,0.003793168,0.098781662
9.06,5.69E-05,0.002000279,-0.278070609
9.08,3.79E-05,-0.004066051,-0.328562317
9.1,-6.00E-05,-0.003257813,0.409386117
9.12,-6.03E-05,0.002364685,0.15286359
9.14,-5.92E-06,0.001905501,-0.198781993
9.16,9.76E-06,0.000528419,0.06107382
9.18,2.63E-05,0.000810603,-0.032855364
9.2,3.68E-05,0.000286922,-0.01951274
9.22,4.98E-05,0.001567428,0.14756329
9.24,6.65E-05,-0.002098981,-0.51420417
9.26,-3.35E-05,-0.005671561,0.15694615
9.28,-8.43E-05,0.002158804,0.626090392
9.3,1.32E-05,0.004051082,-0.436862579
9.32,3.19E-05,-0.000926882,-0.060933811
9.34,3.31E-05,0.00264168,0.417790007
9.36,0.000109152,0.001943591,-0.487598977
9.38,9.43E-05,-0.001242767,0.168963162
9.4,0.000109078,0.003016424,0.256956019
9.42,0.000167282,0.000128085,-0.545789925
9.44,0.000105454,-0.004072491,0.125732294
9.46,5.28E-05,-0.001009118,0.180604974
9.48,3.78E-05,-0.002044424,-0.284135531
9.5,-3.03E-05,-0.003283024,0.160275545
9.52,-5.55E-05,0.00118693,0.286719854
9.54,-2.25E-05,-0.000297494,-0.435162273
9.56,-7.66E-05,-0.003167457,0.14816595
9.58,-9.99E-05,0.001364437,0.305023514
9.6,-3.55E-05,0.003874497,-0.054017585
