time(t), H.Exact(u), C.D(u1), C.D(v1), C.D(a1), N.L.A(u2), N.L.A(v2), N.L.A(a2)
15.68, 0.0001588552980736419, 0.0004729752829877598, 0.0024118272453087274, -0.031264374999073384, 0.0005232301531662428, 0.0020816635267174614, -0.03611906463924086
15.7, 7.780663151836043e-05, 0.0005149589528941197, 0.0018714899878866922, -0.022769350743130135, 0.0005582702026384342, 0.0014538710137861964, -0.026660186653885698
15.72, -3.267655316019176e-06, 0.0005478348825032275, 0.0014929544795488105, -0.015084200090658023, 0.0005825940092632911, 0.0010074308326949923, -0.017983831455234744
15.74, -8.433724103644666e-05, 0.0005746771320760721, 0.0012458139245606684, -0.009629855408156186, 0.0005995762144390755, 0.0007123074255300385, -0.011528509261260644
15.76, -0.0001653718769645028, 0.0005976674394856542, 0.0010177000641188756, -0.013181530636023099, 0.0006113488382380365, 0.00045656381139667245, -0.014045852152075988
15.78, -0.00024634132843015223, 0.0006153851346408271, 0.0006252872906385324, -0.026059746712011223, 0.0006168867515367387, 5.801789353274112e-05, -0.02580873963431715
15.8, -0.00032721531732024116, 0.0006226789311111955, 6.0279463455248676e-05, -0.03044103600631715, 0.0006126697193696615, -0.0004905032157838886, -0.029043371297345827
15.82, -0.00040796346810267854, 0.0006177963131790371, -0.00049560262069179, -0.025147172408386716, 0.0005974745135155086, -0.001007840733581704, -0.022690380482435685
15.84, -0.0004885552593964779, 0.0006028548262835239, -0.0009612945038506532, -0.0214220159074996, 0.0005730889118618529, -0.001415254976060602, -0.018051043765454078
15.86, -0.0005689599829430416, 0.0005793445330250109, -0.0014463888214319219, -0.02708741585062728, 0.0005408492023898019, -0.0018249360310319063, -0.02291706173167629
15.88, -0.00064914671156421, 0.000544999273426247, -0.00205790483761131, -0.03406418576731152, 0.0004993487826093292, -0.0023460202876903315, -0.029191363934166215
15.9, -0.0007290842773763048, 0.0004970283395205585, -0.0027442795823715777, -0.03457328870871539, 0.0004465932361782431, -0.002929377749940586, -0.02914438229085914
