Time(s),Displacement(inch),Velocity(inch/s),Acceleration(inch/s^2)
4.98,-0.001260777400100717,-0.010154526125417177,-0.008839918140365121
5.0,-0.0014637584628913868,-0.010049707986362476,0.019321732045835892
5.02,-0.0016586649722492763,-0.009329777751416813,0.05267129144873032
5.04,-0.0018326457361511625,-0.0079642719969366,0.0838792839992909
5.06,-0.001973121000311869,-0.005981538470225732,0.11439406867179563
5.08,-0.0020687435098573075,-0.0035242401780822686,0.1313357605425508
5.1,-0.002112057799782243,-0.0007620207380012728,0.14488618346554882
5.12,-0.0021004260827141913,0.0018199372015547763,0.11330961049005608
5.14,-0.0020438167867469453,0.003718423887076827,0.07653905806214882
5.16,-0.001954715763165575,0.0051629151824303665,0.06791007147320517
5.18,-0.0018381959346040887,0.0064730432046301535,0.06310273074677378
5.2,-0.0016969166507855738,0.007614778856049202,0.05107083439513064
5.22,-0.001535948283272796,0.00840498907086696,0.027950187086644984
5.24,-0.0013646642037212478,0.008603131920131887,-0.008135902160152322
5.26,-0.0011958981868656275,0.008189997709680782,-0.03317751888495841
5.28,-0.001036888545933991,0.007803225909233474,-0.005499661159772209
5.3,-0.0008800916808627314,0.007968074553819754,0.02198452561840011
5.32,-0.0007163590445340756,0.008403901085474839,0.021598127547108364
5.34,-0.0005441655570807274,0.008805239671581483,0.0185357310635557
5.36,-0.00036434035746912694,0.009177943287941547,0.018734630572450516
5.38,-0.0001781485193849558,0.009385542831018074,0.0020253237352019214
5.4,8.13695509155954e-06,0.009151482272089137,-0.025431379628096207
5.42,0.0001839056152088156,0.008316648269691099,-0.05805202061170819
5.44,0.00033810096324788166,0.007076525872594788,-0.06596021909792302
5.46,0.0004683631581058388,0.00604587967448323,-0.03710440071323321
5.48,0.0005827356442470054,0.005435157579340847,-0.02396780880100532
5.5,0.0006866787460293602,0.004960828196681579,-0.023465129464921634
5.52,0.0007810697551320954,0.0044716462666963604,-0.02545306353360046
5.54,0.000865080712286438,0.00391288167509467,-0.030423395626568595
5.56,0.0009361355451670086,0.0031366955381619335,-0.047195218066705166
5.58,0.0009888693950307625,0.002108638583906305,-0.05561047735885782
5.6,0.0010189939037184037,0.0008575039089221017,-0.0695029901395626
5.62,0.001021509754000211,-0.000642600374177466,-0.08050743817039416
5.64,0.0009922258996967611,-0.0023023030154586026,-0.08546282595771945
5.66,0.0009297644535660742,-0.003909982629108654,-0.07530513540728566
5.68,0.0008397178476914271,-0.004933974268906892,-0.027094028572537805
5.7,0.0007380604773322051,-0.005109716730344137,0.009519782428813427
5.72,0.0006391691588059993,-0.004709462142530735,0.030505676352527145
5.74,0.0005530438345105091,-0.0038049311227873334,0.05994742562181329
5.76,0.0004901052972324021,-0.002430392602359505,0.0775064264209696
5.78,0.0004567425031670954,-0.0009186981692866902,0.07366301688631191
5.8,0.00045211971833418837,0.0004073484447742107,0.05894164451977818
5.82,0.0004708271363840774,0.0014019993727371542,0.040523448276516154
5.84,0.0005054359590666267,0.00198209017414291,0.017485631864059277
5.86,0.0005473769019706882,0.002152104768682813,-0.00048417241006902545
5.88,0.000589718940248901,0.0020519379284669984,-0.009532511611512477
5.9,0.0006271799313638716,0.0016105979264267054,-0.03460148859251694
5.92,0.0006504852107284483,0.000620610937758273,-0.06439721027432635
5.94,0.0006487575822174892,-0.0008563940494171539,-0.08330328844321631
5.96,0.0006159115297934515,-0.0023810868803391732,-0.06916599464898555
5.98,0.0005563445101512611,-0.0034812192391603532,-0.040847241233132284
6.0,0.0004791228664732204,-0.004212335661054087,-0.03226440095624076
6.02,0.0003876984827039679,-0.004966342233717278,-0.04313625631007819
6.04,0.0002792739202229597,-0.005899637341615895,-0.05019325447978359
6.06,0.0001529223166661314,-0.006651533305494622,-0.024996341908088804
6.08,1.5575565485518392e-05,-0.007048982647021819,-0.014748592244630971
6.1,-0.0001292795344644296,-0.0074828137760022525,-0.028634520653412262
6.12,-0.0002858103818481253,-0.008227654349015727,-0.045849536647934945
6.14,-0.0004599906180334693,-0.009213231363290804,-0.052708164779572145
6.16,-0.0006556415314811011,-0.010394092642767448,-0.06537796316809118
6.18,-0.0008762863813658767,-0.011654762565500543,-0.06068902910521794
6.2,-0.001116696752434893,-0.012145140238299181,0.011651261825354866
6.22,-0.0013542123800571624,-0.011453576284995609,0.05750513350500262
6.24,-0.001571362347764069,-0.010240393921094819,0.06381310288507686
6.26,-0.0017630437851794273,-0.00890955879896482,0.069270409327923
6.28,-0.0019275509879773268,-0.007549666915034486,0.06671877906511067
6.3,-0.0020656360904617705,-0.00628061933324872,0.06018597911346656
6.32,-0.002179355612812706,-0.005098549477277554,0.05802100648364995
6.34,-0.0022695703751172947,-0.003915325455969705,0.060301395647135304
6.36,-0.0023363392014360282,-0.0027876869923419384,0.05246245071564135
6.38,-0.002383014359166743,-0.0019505241820797726,0.031253830310575194
6.4,-0.002417531059693341,-0.0015889950179359023,0.0048990861038119855
6.42,-0.0024483811740549965,-0.0014985179794146336,0.004148617748314883
6.44,-0.00247605926356233,-0.001196163644753986,0.026086815717749914
6.46,-0.0024955761318439466,-0.0007960711099119754,0.013922437766451209
6.48,-0.0025089509736275165,-0.00055330842537605,0.010353830687141352
6.5,-0.0025169437924802054,-0.00019584428402262536,0.025392583448201132
6.52,-0.0025164510728346245,0.0002116706804003942,0.015358912994100821
6.54,-0.002508009816233156,0.0006892579994784173,0.03239981891370147
6.56,-0.002485685141010263,0.0016461870953401335,0.06329309067247006
6.58,-0.0024385782254404678,0.0031407322380643194,0.0861614235999484
6.6,-0.002358259039678015,0.004904799152239796,0.09024526781759906
6.62,-0.002242958591823644,0.006583016195500056,0.07757643650842663
6.64,-0.0020968793931186967,0.007970083049657687,0.061130248907335934
6.66,-0.0019269894320205242,0.008932025576337183,0.03506400376061322
6.68,-0.0017420649920076741,0.009523974811647054,0.024130919770373706
6.7,-0.0015473451141968827,0.009918722850620863,0.015343884127006692
6.72,-0.0013464463742710996,0.010143926446355665,0.007176475446473033
6.74,-0.001142358878758609,0.010253506679697485,0.0037815478877074407
6.76,-0.0009363647853543357,0.010354285172368994,0.006296301379443307
6.78,-0.0007284781495424016,0.010411462013257666,-0.0005786172905768205
6.8,-0.0005202159713536724,0.010422188874699848,0.0016513034347938051
6.82,-0.00031178146106075177,0.010404285760190455,-0.003441614885733263
6.84,-0.0001045777388964917,0.010306402953115435,-0.006346665821769719
6.86,0.00010105355592510705,0.01029535497522664,0.005241868032889581
6.88,0.00030696086428343855,0.010242967622967543,-0.01048060325879998
6.9,0.0005090987670278819,0.00993955619831943,-0.019860539206011486
6.92,0.000703729081893365,0.00951404022524369,-0.022691058101563508
6.94,0.0008893557710564123,0.009042833504985368,-0.02442961392426917
6.96,0.0010641500155847492,0.008377765808522479,-0.04207715572202007
6.98,0.0012219818855660615,0.0073400204373720735,-0.0616973813930204
7.0,0.001354827627603516,0.0058637942448042345,-0.08592523786376395
7.02,0.0014553169784376472,0.004205066514148898,-0.07994753520176971
7.04,0.0015256435484978781,0.002938327832754496,-0.046726332937670596
7.06,0.001576629703691787,0.0022385309429540866,-0.023253356042370405
