Time(s),Displacement(m),Velocity(m/s),Acceleration(m/s^2)
10.22,-1.189592235884376e-06,-1.4579594432753478e-05,-0.0031981302677170937
10.24,-1.3818697213781606e-06,3.229886871861019e-05,0.007885976582853461
10.26,6.018468410630263e-08,7.285065755691453e-05,-0.0038307976990230343
10.28,6.659960836445643e-07,-1.652162819285944e-05,-0.005106430875954367
10.3,-3.941324049518103e-08,-2.170383347569925e-05,0.004588210347670386
10.32,1.0170383575409695e-07,1.8693124912086336e-05,-0.0005485145088918279
10.34,2.954066554766758e-07,-2.8456817768675672e-06,-0.001605366160003563
10.36,2.5229934383932664e-07,1.527892840816839e-05,0.0034178271785071587
10.38,9.161897292128297e-07,3.484742920461708e-05,-0.0014609770988622912
10.4,1.2650582530515013e-06,-2.754808844810473e-06,-0.0022992467060804654
10.42,1.0002050518839748e-06,-1.1225895424703397e-05,0.0014521380480911738
10.44,1.1117292715292248e-06,2.4659043315282573e-05,0.0021363558259074227
10.46,1.8736927619672835e-06,4.361287867606942e-05,-0.00024097228982873902
10.48,2.3800584989915832e-06,-8.86117390020648e-06,-0.005006432967798852
10.5,1.5599033940882739e-06,-5.523658825709491e-05,0.0003688915321100111
10.52,6.318371581482627e-07,-3.242567419791198e-05,0.0019121998738082843
10.54,3.657795913036835e-07,5.820714631054238e-06,0.001912439009088337
10.56,7.410483744200546e-07,2.552449811446383e-05,5.793933925262156e-05
10.58,1.143095846391107e-06,8.678731174203991e-06,-0.001742516033278606
10.6,1.3123174453076203e-06,2.5450937821855078e-05,0.0034197366980437136
10.62,2.0200586328408346e-06,2.1061935505834857e-05,-0.0038586369296457366
10.64,1.6074046828562555e-06,-6.543559421289924e-05,-0.004791116042227668
10.66,-1.0928229765740663e-07,-7.872069822897421e-05,0.003462605640620178
10.68,-1.101002809565858e-06,-2.5942736734521083e-05,0.001815190508825137
10.7,-1.3520499233237572e-06,-3.923498682894078e-06,0.0003867332963375641
10.72,-1.0700277487676583e-06,4.6282990585827356e-05,0.004633915630534579
10.74,4.2006623472075995e-07,8.460896004626223e-05,-0.0008013186844910937
10.76,1.5017512887161378e-06,1.0480248516931665e-06,-0.007554774834965814
10.78,5.921686326475037e-07,-6.29856997640233e-05,0.0011514023733941673
10.8,-3.568670565802115e-07,-2.789797759005236e-05,0.0023573698440029316
10.82,-8.251705444993077e-07,-3.8023266447789036e-05,-0.0033698987297765973
10.84,-1.786908625761254e-06,-3.45151919959479e-05,0.003720706174960714
10.86,-1.8163524894602548e-06,2.7406742687438528e-05,0.0024714872933779284
10.88,-1.0967807796999928e-06,2.8407398155382993e-05,-0.0023714217465834846
10.9,-4.983654506183733e-07,5.6661720517311774e-05,0.005196853982776362
10.92,1.072704747971562e-06,7.03685489261031e-05,-0.00382617114189723
10.94,1.6569947923083167e-06,-1.4831879782720641e-05,-0.004693871728985149
10.96,7.728368854254769e-07,-5.60212091771332e-05,0.0005749387895438926
10.98,-1.0512130984501782e-07,-2.540069883174675e-05,0.0024871122449947568
11.0,-8.420289538451775e-08,2.9068037382620945e-05,0.002959761376442013
11.02,6.863105265278376e-07,2.7843324757191273e-05,-0.0030822326389849802
11.04,8.983606413610018e-07,6.943194100441884e-06,0.0009922195733100391
11.06,1.0938723899489013e-06,5.518178354200771e-06,-0.0011347211479341506
11.08,9.882326402063236e-07,-1.5535107690446702e-05,-0.0009706074565305968
11.1,6.603753321419493e-07,-8.402306263456787e-06,0.0016838875992295898
11.12,6.860744687382026e-07,3.820607024055659e-06,-0.00046159627047834533
11.14,5.359834341726983e-07,-2.5538906528153496e-05,-0.0024743550847425703
11.16,-1.0425456144755603e-07,-2.0214335439305455e-05,0.0030068121936273743
11.18,-8.456298291524592e-08,1.331428572218368e-05,0.0003460499225215398
11.2,-1.6596161226266183e-07,-4.2298865071695146e-05,-0.0059073650019094235
11.22,-1.4328265806389815e-06,-4.63583650939634e-05,0.0055014149996825985
11.24,-1.505232586458377e-06,2.6841679318191505e-05,0.0018185894415328908
11.26,-1.0131566461601345e-06,1.94213799302445e-06,-0.004308543574049597
11.28,-1.0545757405900528e-06,3.298829558995932e-05,0.007413159333743085
11.3,4.335010495808137e-07,8.310333400828051e-05,-0.0024016554919109702
11.32,1.261493321750901e-06,-1.799127227193823e-05,-0.007707805136110907
11.34,4.185739593497837e-08,-6.988479296740287e-05,0.002518453066564447
11.36,-8.666912542848493e-07,-2.169724226381289e-05,0.002300302003794554
