Time (s),Displacement (in),Velocity (in/s),Acceleration (in/s²)
3.2,-0.053350044753206635,3.0901718382390486,9.062184171254103
3.22,0.006911332584158687,2.9359658954974837,-24.482778445410602
3.24,0.05958421181458909,2.3313220275455566,-35.981608349782086
3.26,0.09808806458276838,1.5190632492723721,-45.24426947753637
3.28,0.12089287276471829,0.7614175689226187,-30.52029855743897
3.3,0.13350924938788758,0.5002200933943104,4.400551004608147
3.32,0.1461102354894466,0.7598785167615915,21.565291332119962
3.34,0.16528777866629882,1.1578758009236305,18.234437084083936
3.36,0.1898641549095757,1.2997618234040575,-4.045834836041237
3.38,0.2110145907972652,0.8152817653648925,-44.40217096787527
3.4,0.21579829507161785,-0.33691133792962713,-70.8171393615767
3.42,0.19662443500051605,-1.5804746691805536,-53.53919376351594
3.44,0.15758958224231748,-2.3230106066393033,-20.714399982359055
3.46,0.10912753395963148,-2.523194221629296,0.6960384833597963
3.48,0.05863044464257272,-2.5265147100765804,-1.0280873280882377
3.5,0.007530804893916113,-2.5834492647890808,-4.6653681431618015
3.52,-0.044627529750858784,-2.6323841996884094,-0.22812534677105578
3.54,-0.09715350486791745,-2.6202133120174573,1.4452141138662815
3.56,-0.1500702797235902,-2.6714641735498166,-6.570300267102207
3.58,-0.2036911822187659,-2.690626075967754,4.654110025308499
3.6,-0.2554630566252743,-2.486561364683087,15.752361103158194
3.62,-0.3011202194883089,-2.079154921620375,24.988283203113
3.64,-0.3364123723263065,-1.4500603621793826,37.921172740986236
3.66,-0.35793037764682667,-0.7017401698726347,36.91084648968855
3.68,-0.36483600054443366,0.011177880111935878,34.3809585087685
3.7,-0.35549977974873476,0.9224441994579542,56.74567342583333
3.72,-0.322702596555626,2.3572741198529217,86.7373186136634
3.74,-0.2574414619720671,4.16883933850297,94.41920325134143
3.76,-0.15640954164910362,5.934352693793375,82.13213227769916
3.78,-0.029034002954805807,6.803201175636405,4.752715906603768
3.8,0.102669929745703,6.367192094414477,-48.35362402879652
3.82,0.2195706960308015,5.322884534095374,-56.07713200311383
3.84,0.31357506462412343,4.077552325236819,-68.45608888274175
3.86,0.3808157505072469,2.646516263075529,-74.6475173333872
3.88,0.4176930014432194,1.0412088305217198,-85.88322592199371
3.9,0.4199244059928489,-0.8180683755587697,-100.04449468605522
3.92,0.38725086750452986,-2.449285473273136,-63.07721508538141
3.94,0.33088912138334176,-3.1868891388456744,-10.68315147187245
3.96,0.26497009097922386,-3.4050139015661154,-11.12932480017166
3.98,0.1952874635055549,-3.563248845800781,-4.694169623294902
4.0,0.12350180222455945,-3.6153172822987645,-0.5126740265034124
4.02,0.04819555389692722,-3.915307550464457,-29.48635279006583
4.04,-0.03821838832691955,-4.7260866719202195,-51.59155935551042
4.06,-0.1408803288893846,-5.5401073843262845,-29.810511885096055
4.08,-0.2531070173225453,-5.682561458989788,15.56510441874572
4.1,-0.3621025847728364,-5.216995286039321,30.991512876300988
4.12,-0.4614452216897258,-4.717268405649617,18.981175162669466
4.14,-0.5495099451720775,-4.089203942585556,43.82527114373664
4.16,-0.618059491360728,-2.7657506762794943,88.5200554868695
4.18,-0.6562341788399026,-1.0517180716379686,82.88320497728307
4.2,-0.6617535387153657,0.4997820840916649,72.26681059568028
4.22,-0.6360255774315597,2.0730140442889295,85.0563854240462
4.24,-0.5762988400587694,3.8996596929901033,97.60817944607118
4.26,-0.480834357343754,5.646788578511437,77.10470910606216
4.28,-0.3541058623252445,7.026060923339514,60.82252537674563
4.3,-0.2025913363062816,8.125391678556774,49.110550144980294
4.32,-0.031495314399114425,8.98421051215994,36.77133321533641
4.34,0.1511980134333608,9.285122271087584,-6.680157322572025
4.36,0.3270515929962705,8.300235685203386,-91.8085012658478
4.38,0.470363587776196,6.030963792789166,-135.1186879755743
4.4,0.5638891531291127,3.321592742502501,-135.81841705309216
4.42,0.6041355166287941,0.7030436074656339,-126.03649645059454
4.44,0.5925236512619897,-1.8642301441460702,-130.69087871057587
4.46,0.5298562474186649,-4.402510240186411,-123.13713089345819
4.48,0.42121641825413536,-6.461472676266542,-82.75911271455487
4.5,0.2812647469635625,-7.533694452790743,-24.46306493786527
4.52,0.12819865019113205,-7.772915224452304,0.5409877717091938
4.54,-0.026507459874668647,-7.697695782127767,6.980956460744476
4.56,-0.17663487276978823,-7.315045507384191,31.28407101361314
4.58,-0.31516039059703443,-6.53750627534043,46.46985219076299
4.6,-0.4366135659654261,-5.607811261498739,46.49964919340616
4.62,-0.5367655704447551,-4.407389186434164,73.54255831305134
4.64,-0.6071642234722047,-2.6324761163107873,103.94874869928633
4.66,-0.6368865775011707,-0.33975928658581855,125.32293427321055
4.68,-0.6184882723829959,2.179589798403305,126.61197422570179
4.7,-0.5516541133832633,4.503826101569951,105.81165609096279
4.72,-0.4397651012882603,6.68507510793035,112.31324454507721
4.74,-0.2835442702634234,8.93700799455334,112.88004411722177
4.76,-0.08562226077261563,10.855192954527434,78.93845188018749
4.78,0.13995595200070815,11.702628322804944,5.805084947563557
4.8,0.3690355072688162,11.205327204005858,-55.53519682747228
4.82,0.5778881009791224,9.67993216702476,-97.00430687063749
4.84,0.7488064351611565,7.411901251178656,-129.79878471397282
4.86,0.870961630895686,4.803618322274294,-131.0295081764634
4.88,0.943708456560549,2.471064244212007,-102.22589962976525
4.9,0.9754488945197557,0.7029795517086599,-74.58256962056947
4.92,0.9751257912050043,-0.7352898831837984,-69.24437386867635
4.94,0.9466289227873254,-2.114396958584097,-68.66633367135353
4.96,0.8904724644020858,-3.5012488799398556,-70.01885846422232
4.98,0.8072089132821078,-4.825106232057951,-62.3668767475873
5.0,0.6971339150750474,-6.1823935886480825,-73.36185891142583
5.02,0.5575309122537814,-7.77790669347852,-86.1894515716179
5.04,0.3840435937716475,-9.570825154734868,-93.10239455401697
5.06,0.1737686291996876,-11.456671302461121,-95.48222021860832
5.08,-0.07297281754392419,-13.21747337190006,-80.5979867252855
5.1,-0.35134685375068847,-14.619930248776367,-59.6477009623452
5.12,-0.6489214279984865,-15.137527176003438,7.888008239638111
5.14,-0.9430304193316837,-14.273371957316286,78.52751362907703
5.16,-1.2090682131107064,-12.330407420585985,115.76894004395312
5.18,-1.4298409440452176,-9.746865672865125,142.5852347281329
5.2,-1.5936262561574175,-6.631665538354868,168.93477872289282
5.22,-1.6896095812881087,-2.966666974714251,197.5650776411689
5.24,-1.7062695669305257,1.3006684104725514,229.16846087751134
5.26,-1.6334883272436038,5.977455558219633,238.5102538971969
5.28,-1.471687352147923,10.202641951348447,184.00838541568453
5.3,-1.2370539459020589,13.260698673237968,121.79728677326756
5.32,-0.9514073958891849,15.303956328049427,82.52847870787832
5.34,-0.632803196436113,16.556463617257755,42.72225021295435
5.36,-0.2975606182917456,16.967794197178986,-1.5891922208311584
5.38,0.038828744678786574,16.67114209987423,-28.076017509644437
5.4,0.3652698672602439,15.972970158271504,-41.74117665062821
5.42,0.6758024013066426,15.080283246368364,-47.52751453968579
5.44,0.965160669649404,13.85554358790777,-74.9464513063736
5.46,1.2213289896848436,11.761288415636194,-134.4790659207839
5.48,1.4260367976946178,8.709492385341221,-170.70053710871343
5.5,1.5646204850263055,5.1488763478275485,-185.36106664265384
5.52,1.6302395633838285,1.4130314879247514,-188.22341934762585
5.54,1.6217900986879237,-2.2579779575152306,-178.87752519637235
5.56,1.5438259329987474,-5.5384386114024,-149.16854019234455
5.58,1.4060521722488282,-8.23893746358952,-120.88134502636751
5.6,1.2210284397088738,-10.26343579040592,-81.56848765527235
5.62,1.003445226128057,-11.494885567675746,-41.576490071710396
5.64,0.7687931650389024,-11.970320541239722,-5.967007284687227
5.66,0.5302456888469622,-11.884427077954294,14.556353613229973
5.68,0.2936336319190693,-11.776778614834994,-3.7915073012999407
5.7,0.05668340738418482,-11.918243838653456,-10.35501508054633
5.72,-0.18282828115005198,-12.032925014770221,-1.1131025311302132
5.74,-0.42368275693104385,-12.052522563328965,-0.8466523247442495
5.76,-0.6637480592194003,-11.954007665506676,10.698142106973078
5.78,-0.8975313913524772,-11.424325547801013,42.27006966359318
5.8,-1.1136247762553617,-10.185012942487441,81.66119086776405
5.82,-1.2971753464493898,-8.170044076915369,119.83569568944321
5.84,-1.4329878558879117,-5.411206866936816,156.04802530841218
5.86,-1.507697359884616,-2.059743532733613,179.0983081119081
5.88,-1.5125467409028093,1.5748054309142807,184.35658825288127
5.9,-1.4429329686123404,5.386571798132603,196.82004846895094
5.92,-1.2950438835645297,9.40233670664847,204.7564423826358
5.94,-1.0672725314223226,13.37479850757224,192.48973770974132
5.96,-0.7666378919374062,16.6886654409194,138.8969556249746
5.98,-0.4123897706776409,18.73614668505713,65.85116878879816
6.0,-0.029996578588677145,19.503172523839243,10.851415089413337
6.02,0.3587548378721202,19.371969122240493,-23.971755249288403
6.04,0.7377605812418402,18.528605214731506,-60.36463550161031
6.06,1.0898001206507473,16.675348726159203,-124.96101335561994
6.08,1.394072505247069,13.751889733472975,-167.38488591300293
6.1,1.6346915618685016,10.310015928670282,-176.80249456726628
6.12,1.8058189768531079,6.8027255697903435,-173.92654132072758
6.14,1.9072102524852605,3.3364019934249223,-172.70581631581453
6.16,1.9409587138919344,0.03844414724246459,-157.08996830243123
6.18,1.9109032340160916,-3.043992134826743,-151.1536599044895
6.2,1.814366335937745,-6.60969767300791,-205.4168939136272
6.22,1.6393257626165336,-10.894359659113238,-223.04930469690564
6.24,1.3800429847356313,-15.033918128977,-190.90654228947042
6.26,1.0452876521919996,-18.441615125386164,-149.86315735144612
6.28,0.6519743895098098,-20.889711142832812,-94.9464443932188
6.3,0.22138445908012114,-22.169281900136053,-33.010631337105096
6.32,-0.22284592120129346,-22.253756128005406,24.563208550169875
6.34,-0.6579648405666672,-21.258135808531968,74.99882339717405
6.36,-1.0625753310300678,-19.202913237808097,130.52343367521286
6.38,-1.4144049155985874,-15.980045219043856,191.76336820121128
6.4,-1.690059390346686,-11.58540225576601,247.70092812657322
6.42,-1.8704725284749093,-6.455911557056313,265.24814174439643
6.44,-1.9483623212832157,-1.333067723774331,247.0362415838017
6.46,-1.9252120729199134,3.648092560104568,251.0797868040882
6.48,-1.8036938726108207,8.503727470804698,234.48370426592476
6.5,-1.5913294097928283,12.73271881099454,188.4154297530594
6.52,-1.301926411935989,16.207580974689392,159.0707866164259
6.54,-0.9522949382094342,18.755566397966085,95.7277557112435
6.56,-0.566112453648884,19.86268205808894,14.98381030104187
6.58,-0.1730977917627946,19.438784130519995,-57.37360305793634
6.6,0.19920601953813738,17.7915969995732,-107.34511003674288
6.62,0.5308164032159753,15.369441368210596,-134.8704530995176
6.64,0.8095349884579673,12.502417155988605,-151.83196812268153
6.66,1.0292316857481143,9.46725257302609,-151.68449017356977
6.68,1.1874790854583082,6.357487397993294,-159.29202732970992
6.7,1.2825739803466438,3.152002090840272,-161.25650338559228
6.72,1.313882473769191,-0.021152748585556935,-156.0589805569906
6.74,1.283031930117955,-3.0639016165380504,-148.21590623825875
6.76,1.1929993291460048,-5.939358480656958,-139.32978017363206
6.78,1.048814827353493,-8.479091698594228,-114.64354162009485
6.8,0.8583668256546811,-10.565708471286953,-94.01813564917774
6.82,0.6314454275250037,-12.126431341680794,-62.05415139020636
6.84,0.3797191308306669,-13.046198327752881,-29.92254721700239
6.86,0.11465632417084559,-13.460082338229249,-11.465853830634359
6.88,-0.15226504699195476,-13.232054778050786,34.268609848480565
6.9,-0.40635326767511404,-12.176767290265142,71.26013893008387
6.92,-0.6329926163243845,-10.487167574661907,97.69983263023964
6.94,-0.821171477523111,-8.330718545210743,117.94507031487665
6.96,-0.9611774643813946,-5.669880140617614,148.1387701444363
6.98,-1.042465056621196,-2.4588790833625174,172.96133558107329
7.0,-1.0549370633853254,1.211678406949566,194.09441345013505
7.02,-0.993693332922471,4.912694639335882,176.00720978849648
7.04,-0.8655369343491828,7.902945217992938,123.01784807720907
7.06,-0.687685822401518,9.882165976773539,74.90422780085098
7.08,-0.48075022175695814,10.811394087682444,18.018583290039587
7.1,-0.26466127889323715,10.797500198689653,-19.40797218931873
7.12,-0.05561829193240362,10.1067984973937,-49.66219794027637
7.14,0.1345271674094553,8.90774743679219,-70.24290811987471
7.16,0.29732238880117695,7.371774702379974,-83.35436532134695
7.18,0.4273317268061882,5.62915909812115,-90.90719510453543
7.2,0.5223618477890069,3.8738530001607145,-84.62341469150807
7.22,0.5831608357307823,2.206045794016826,-82.15730592288075
7.24,0.6105002937400993,0.5279000069148769,-85.65727278731417
7.26,0.6017384014634882,-1.404089234575983,-107.54165136177183
7.28,0.549963845412827,-3.773366370490145,-129.38606222964438
7.3,0.4489807580410712,-6.324942366685431,-125.77153738988426
7.32,0.29895897148825534,-8.677236288596152,-109.45785480118772
7.34,0.10814071539807636,-10.404589320421747,-63.27744838137187
7.36,-0.10720809643905994,-11.130291863291882,-9.292805905641657
7.38,-0.3275083993199909,-10.89973842480121,32.348149754708814
7.4,-0.5333788721213362,-9.68730885533332,88.89480719208024
7.42,-0.7047111305959861,-7.445916992131673,135.2443791280845
7.44,-0.8243914984068105,-4.5221197889507625,157.13534119000664
7.46,-0.8826968097113119,-1.308411341499382,164.23550355513137
7.48,-0.8770380251778075,1.874289794849826,154.03461007978942
7.5,-0.8096283584332152,4.8666768796094,145.20409839616795
7.52,-0.6863716372841688,7.45899523529524,114.02773717241601
7.54,-0.5226195215263408,8.916216340487559,31.694373346815894
7.56,-0.3444994382944907,8.895791982697457,-33.73680912582615
7.58,-0.17433401480833716,8.120750365917898,-43.767352552129786
7.6,-0.019836913372878722,7.328959777627947,-35.41170627686528
7.62,0.11914914552104407,6.5696461117643326,-40.51966030949618
7.64,0.24115901898994227,5.631341235125488,-53.31082735438826
7.66,0.3436556269295373,4.6183195588340125,-47.9913402747593
7.68,0.4288152970635868,3.897647454570939,-24.07587015154801
7.7,0.5001522379582688,3.236046634897262,-42.08421181581971
7.72,0.5528434946844202,2.033079037717876,-78.21254790211887
7.74,0.5768644136829373,0.36901286213383444,-88.19406965628525
7.76,0.5681796688921154,-1.2374873412160274,-72.45595067870093
7.78,0.5312480917909752,-2.4556703688979873,-49.36235208949503
7.8,0.47200750674599146,-3.468388135600388,-51.90942458074504
7.82,0.3915856807832406,-4.5737944606747005,-58.6312079266862
7.84,0.2880784074806345,-5.776932869585905,-61.682632964434234
7.86,0.16367504266685534,-6.6634036117920115,-26.96444125617643
7.88,0.029901990796946016,-6.71390157519892,21.914644915485514
7.9,-0.09922851243812048,-6.19914874830773,29.560637773633534
7.92,-0.2183416826060141,-5.7121682684816335,19.137410208976096
7.94,-0.32725807506140425,-5.179470977057381,34.132318933449184
7.96,-0.4206687096915146,-4.161592485953653,67.65553017692365
7.98,-0.4888700640667339,-2.6585429515682764,82.64942326161405
8.0,-0.5248172265007369,-0.9361732918320267,89.58754271201092
8.02,-0.5265770391677637,0.7601920251293528,80.04898898412704
8.04,-0.49721199933918475,2.1763119577285384,61.5630042757915
8.06,-0.4406166750522234,3.4832204709675962,69.12784704811428
8.08,-0.35683839307556214,4.89460772669853,72.0108785249791
8.1,-0.24908921563846706,5.880310017010977,26.559350506265602
8.12,-0.12948876052827818,6.079735494007911,-6.61680280657221
8.14,-0.007485152020313357,6.120625356788571,10.705789084638102
8.16,0.11781782014636112,6.409671859878876,18.198861224392424
8.18,0.24840291599132486,6.648837724617498,5.7177252494697655
8.2,0.3812634000525814,6.637210681508156,-6.880429560403892
8.22,0.5096623798650047,6.202687299734176,-36.57190861699407
8.24,0.6206347167100726,4.894546384772615,-94.24218287916204
8.26,0.6967463354147821,2.7166154856983353,-123.55090702826587
8.28,0.7276318091255666,0.37193188538010746,-110.91745300355691
8.3,0.7138958217665006,-1.7455306212867079,-100.82879766312462
8.32,0.6612213293662876,-3.5219186187345857,-76.81000208166316
8.34,0.5795272126618252,-4.647493051711661,-35.74744121604435
8.36,0.48168471408690666,-5.13675680578019,-13.178934190808583
8.38,0.3771247829000961,-5.319236312900865,-5.069016521258945
8.4,0.2695139469181576,-5.441847285292983,-7.192080717952816
8.42,0.1588012067795139,-5.629426728571388,-11.565863609887632
8.44,0.04384768218398966,-5.865925730981036,-12.084036631077229
8.46,-0.07634831385738489,-6.153673873156418,-16.690777586460907
8.48,-0.20234215802840094,-6.445710543945188,-12.512889492416097
8.5,-0.33144526728053453,-6.464600381268171,10.623905760117808
8.52,-0.45601113019043854,-5.9919859097222306,36.63754139447621
8.54,-0.565761332295038,-4.983034300737716,64.25761950397532
8.56,-0.649353477913939,-3.3761802611523897,96.42778445455727
8.58,-0.69695467757451,-1.3839397049047077,102.79627117021093
8.6,-0.7049018199037212,0.5892254719835843,94.52024651861828
8.62,-0.6739023087605622,2.510725642332318,97.62977051625506
8.64,-0.6033970426271879,4.5398009710051195,105.2777623510251
8.66,-0.49164854850086176,6.6350484416274895,104.24698471121192
8.68,-0.33976984239256564,8.552822169202123,87.53038804625152
8.7,-0.1548768793941834,9.9364741306361,50.83480809714612
8.72,0.0495445153050737,10.50566533928961,6.0843127682049385
8.74,0.25774635667965135,10.314518798168153,-25.198966880350575
8.76,0.4563324058136733,9.54408611523404,-51.84430141306077
8.78,0.6343470790693062,8.257381210329253,-76.8261890774179
8.8,0.7825324434261945,6.561155225359579,-92.79640941954946
8.82,0.8936405618919048,4.549656621211442,-108.3534509952643
8.84,0.9609562815325138,2.1819153428494586,-128.42067684093402
8.86,0.9774565542937733,-0.5318880667235053,-142.95966411636235
8.88,0.9406395628105284,-3.1498110816009857,-118.83263737138569
8.9,0.8571347061656821,-5.200674582883645,-86.25371275688016
8.92,0.7373694206367941,-6.775853970005153,-71.26422595527069
8.94,0.5887659168300592,-8.084496410668338,-59.60001811104783
8.96,0.4168580480187711,-9.106290470460472,-42.5793878681655
8.98,0.23030783142920624,-9.54873118849601,-1.664683935388389
9.0,0.042532028082263015,-9.228849146198312,33.65288816515817
9.02,-0.13325020186891598,-8.349373848919583,54.29464156271468
9.04,-0.29026791919994377,-7.352397884183196,45.402954910924116
9.06,-0.42902082976700745,-6.5228931725231725,37.54751625507817
9.08,-0.5490992861776693,-5.484952468543017,66.24655414293741
9.1,-0.6418360335235754,-3.788722266047592,103.37646610660505
9.12,-0.6960463412739972,-1.6323085089945866,112.26490959869545
9.14,-0.708039341828658,0.43300845352850725,94.2667866536139
9.16,-0.682553292693612,2.1155964599760964,73.99201399114503
9.18,-0.626860337897048,3.453699019680304,59.81824197927571
9.2,-0.5474657310353456,4.485761666489936,43.38802270168753
9.22,-0.45158240499434676,5.102570937609944,18.29290441031332
9.24,-0.3458194100153465,5.473728560290082,18.822857857700455
9.26,-0.23069810785603023,6.038401655641544,37.644451677445716
9.28,-0.10332077318788109,6.699331811173372,28.448563875737037
9.3,0.03275021299018038,6.907766806632774,-7.6050643297967575
9.32,0.16598414690165153,6.4156265845143405,-41.60895788204664
9.34,0.28291525616888524,5.277484342209031,-72.20526634848432
9.36,0.3719912686638535,3.6301169072877952,-92.53147714363931
9.38,0.42461351886172033,1.6321081124988857,-107.26940233525164
9.4,0.43462840001413294,-0.6306199972576245,-119.00340864039936
9.42,0.39853900350310634,-2.978319653845036,-115.76655701834179
9.44,0.3184335602183985,-5.032224674625745,-89.62394505972915
9.46,0.20380202285832866,-6.430929061381241,-50.24649361582047
9.48,0.06912547774698993,-7.036725449752632,-10.333145221318603
9.5,-0.06974759502463518,-6.8505818274098775,28.947507455594085
9.52,-0.19883108207871428,-6.057766877998031,50.33398748559055
9.54,-0.3081135857644127,-4.870483490571813,68.39435125703122
9.56,-0.3898239437198857,-3.3005523049754864,88.59876730260143
9.58,-0.43729102771955486,-1.4461560949914285,96.84085369580436
9.6,-0.44928034106040204,0.24722476090670975,72.49723189400947
9.62,-0.43370476154407317,1.3103331907261777,33.81361108793732
9.64,-0.4027087138552391,1.7892715781572295,14.08022765516786
9.66,-0.36476590246583307,2.005009560783373,7.493570607446493
9.68,-0.3240359532251848,2.067985363281454,-1.195990357638391
9.7,-0.2840918978006806,1.9264201791689644,-12.960528053610567
9.72,-0.24778814906752913,1.7039546941461838,-9.286020448667475
9.74,-0.21342670067033906,1.7321901455728237,12.109565591331464
9.76,-0.173457918662413,2.264688055219782,41.14022537336436
9.78,-0.11800598517099509,3.2805052939220096,60.4414984968584
9.8,-0.04106304142246501,4.413789080930998,52.88688020404048
9.82,0.05441693570191928,5.1342086315074305,19.155074853602684
9.84,0.1579929374832946,5.2233915466301015,-10.236783341335599
9.86,0.25884702372514884,4.862017077555322,-25.900663566142345
9.88,0.3490875218305882,4.1620327329886155,-44.09777089052831
9.9,0.4205095102650466,2.9801661104572243,-74.08889136261081
9.92,0.4635494984310124,1.3238327061393527,-91.54444906917635
9.94,0.47357950618397915,-0.3208319308426777,-72.92201462902668
9.96,0.45568537720006175,-1.4685809675490624,-41.8528890416118
9.98,0.4207003826014443,-2.02991849231268,-14.280863434749953
10.0,0.37870255697929167,-2.169864069902585,0.28630567575941157
10.02,0.3355261838884719,-2.147773239179393,1.9227773965597814
