Time (s),Displacement (in),Velocity (in/s),Acceleration (in/s^2),Acceleration (in/s²)
2.98,-0.04398258818091301,0.5367418047105246,5.749036903330412,
3.0,-0.03234536795545619,0.6269802178351571,3.2748044091328428,
3.02,-0.01899802187819853,0.7077543898906091,4.802612796412353,
3.04,-0.004354572401963614,0.7565905577328825,0.08100398781499063,
3.06,0.009274669951821194,0.6063336776455982,-15.106691996543422,
3.08,0.017898349409716265,0.2560342681439089,-19.923248953625507,
3.1,0.018316548876909543,-0.21421432142458108,-27.101610003223488,
3.12,0.009632975471866801,-0.6541430190796932,-16.89125976228772,
3.14,-0.00411440158176423,-0.72059468628341,10.246093041916044,
3.16,-0.013974401629920783,-0.2654053185322452,35.27284373320043,
3.18,-0.012398665177653671,0.42297896375895633,33.56558449591972,
3.2,-0.00014322964604102784,0.802564589402308,4.392978068415445,
3.22,0.013643626882053483,0.576121063407143,-27.037330667931954,
3.24,0.019089752090417064,-0.03150854257078495,-33.72562992986084,
3.26,0.011608838206163052,-0.7165828458546163,-34.7818003985223,
3.28,-0.0071658967938202775,-1.1608906541437167,-9.648980430387745,
3.3,-0.02790991794985297,-0.9135114614595523,34.386899698804186,
3.32,-0.037208688251328836,-0.016365568688034293,55.327689578347616,
3.34,-0.027138748193580906,1.0233595744628277,48.644824736738556,
3.36,-7.611193445731164e-05,1.6829040514495317,17.30962296193185,
3.38,0.03195628461056883,1.5203356030530828,-33.566467801576735,
3.4,0.052320633528541965,0.5160992887442302,-66.85716362930852,
3.42,0.0509181774119984,-0.6563449003985866,-50.38725528497315,
3.44,0.03135303780733845,-1.3001690600674083,-13.995160681909013,
3.46,0.005135918004689565,-1.3215429201974804,11.857774668901788,
3.48,-0.018800875619029257,-1.0721364421744017,13.08287313340608,
3.5,-0.03790091786405108,-0.8378677823277807,10.343992851256028,
3.52,-0.052260054068888395,-0.5980458381559509,13.638201565926947,
3.54,-0.06164211996927458,-0.34016075188266753,12.15030706140139,
3.56,-0.06726791777893698,-0.22241902908357264,-0.37613478149189916,
3.58,-0.07118132681524823,-0.16892187454755253,5.725850235093909,
3.6,-0.07288171742100655,-0.0011171860282788992,11.054618616833455,
3.62,-0.07043213804597427,0.24607512353150654,13.664612339145087,
3.64,-0.06224263372316365,0.5728753087495554,19.015406182659795,
3.66,-0.04789948867125371,0.861439196441439,9.840982586528561,
3.68,-0.02971289259723039,0.9572204109608928,-0.2628611345831686,
3.7,-0.009033029284006098,1.1107659203615365,15.61741207464753,
3.72,0.018641449871545705,1.6566819951936438,38.9741954085632,
3.74,0.059535494697906484,2.4327224874424336,38.62985381631578,
3.76,0.11382115180451778,2.995843223218696,17.682219761310463,
3.78,0.16906235014179571,2.5282766105090975,-64.43888103227027,
